date,channel,provider,total_sent,total_delivered,total_failed,delivery_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,cost_inr,circuit_opens,avg_retry_count
2025-12-06,email,nodemailer,4174,3743,431,0.8967,2528,10080,35858,1.25,0,0.149
2025-12-06,push,fcm,8320,6255,2065,0.7518,1094,4494,22455,0,0,0.05
2025-12-06,whatsapp,whatsapp_cloud,3981,3648,333,0.9164,961,10701,25548,19.91,0,0.09
2025-12-06,in_app,internal,3229,3250,-21,1.0065,2577,9928,18515,0,0,0.085
2025-12-07,sms,msg91,5300,5177,123,0.9768,1824,10281,35870,10.6,0,0.054
2025-12-07,sms,twilio,5709,5505,204,0.9643,2556,11055,23780,11.42,0,0.12
2025-12-07,email,nodemailer,4941,4535,406,0.9178,2863,6954,24392,1.48,0,0.041
2025-12-07,push,fcm,9278,6917,2361,0.7455,1764,5038,20962,0,0,0.039
2025-12-07,whatsapp,whatsapp_cloud,3249,2975,274,0.9157,2550,4391,32674,16.25,0,0.075
2025-12-07,in_app,internal,2724,2648,76,0.9721,1955,11971,25181,0,0,0.023
2025-12-08,sms,msg91,13606,12681,925,0.932,2009,7235,34393,27.21,2,0.03
2025-12-08,sms,twilio,16416,16065,351,0.9786,1083,8130,17692,32.83,0,0.038
2025-12-08,email,nodemailer,12426,11371,1055,0.9151,1842,9489,28607,3.73,0,0.094
2025-12-08,push,fcm,20639,16043,4596,0.7773,2498,8132,31024,0,0,0.061
2025-12-08,whatsapp,whatsapp_cloud,8248,7658,590,0.9285,1045,6214,18282,41.24,0,0.086
2025-12-08,in_app,internal,9137,9162,-25,1.0027,1518,6937,22205,0,0,0.068
2025-12-09,sms,msg91,16002,15749,253,0.9842,2933,5910,23701,32.0,0,0.087
2025-12-09,sms,twilio,15555,15083,472,0.9697,1297,5726,38408,31.11,0,0.134
2025-12-09,email,nodemailer,11166,9909,1257,0.8874,1693,7924,23518,3.35,0,0.122
2025-12-09,push,fcm,21598,16338,5260,0.7565,905,7640,28238,0,0,0.055
2025-12-09,whatsapp,whatsapp_cloud,7983,7528,455,0.943,2586,5377,29213,39.91,0,0.054
2025-12-09,in_app,internal,8216,8000,216,0.9737,2027,7036,39288,0,0,0.086
2025-12-10,sms,msg91,16640,15732,908,0.9454,2652,10592,23982,33.28,0,0.08
2025-12-10,sms,twilio,17084,16383,701,0.959,2136,9399,35221,34.17,0,0.027
2025-12-10,email,nodemailer,12242,11365,877,0.9284,1096,10808,40598,3.67,0,0.064
2025-12-10,push,fcm,20448,15166,5282,0.7417,1787,11024,41297,0,0,0.115
2025-12-10,whatsapp,whatsapp_cloud,9617,9089,528,0.9451,2716,5099,24345,48.09,0,0.028
2025-12-10,in_app,internal,8236,8219,17,0.9979,934,4172,23024,0,0,0.056
2025-12-11,sms,msg91,15449,15274,175,0.9887,2082,7547,31582,30.9,0,0.113
2025-12-11,sms,twilio,16157,15143,1014,0.9372,1573,7055,18925,32.31,0,0.05
2025-12-11,email,nodemailer,12719,11376,1343,0.8944,2871,4667,32402,3.82,0,0.058
2025-12-11,push,fcm,25057,18775,6282,0.7493,1858,10547,26808,0,0,0.098
2025-12-11,whatsapp,whatsapp_cloud,8032,7263,769,0.9043,1492,10565,34270,40.16,0,0.138
2025-12-11,in_app,internal,7160,6953,207,0.9711,1958,5933,21510,0,0,0.046
2025-12-12,sms,msg91,16248,15764,484,0.9702,1176,9327,36782,32.5,0,0.064
2025-12-12,sms,twilio,17225,16677,548,0.9682,1659,10090,32397,34.45,0,0.087
2025-12-12,email,nodemailer,10983,10196,787,0.9283,1627,7261,38790,3.29,0,0.043
2025-12-12,push,fcm,21008,16232,4776,0.7727,2390,11350,36017,0,0,0.088
2025-12-12,whatsapp,whatsapp_cloud,9646,8946,700,0.9274,2539,10929,35620,48.23,0,0.09
2025-12-12,in_app,internal,7505,7699,-194,1.0258,1056,4680,16321,0,0,0.141
2025-12-13,sms,msg91,6545,6218,327,0.95,2889,8990,25859,13.09,0,0.115
2025-12-13,sms,twilio,6577,6183,394,0.9401,1860,4270,33816,13.15,0,0.147
2025-12-13,email,nodemailer,5504,5118,386,0.9299,809,4405,36475,1.65,0,0.137
2025-12-13,push,fcm,8444,6397,2047,0.7576,2420,7852,31990,0,0,0.035
2025-12-13,whatsapp,whatsapp_cloud,3647,3409,238,0.9347,1106,5263,29969,18.23,0,0.038
2025-12-13,in_app,internal,3032,3024,8,0.9974,2077,5454,35441,0,0,0.082
2025-12-14,sms,msg91,6235,5982,253,0.9594,901,11706,23513,12.47,3,0.143
2025-12-14,sms,twilio,5233,4948,285,0.9455,2498,7072,31069,10.47,0,0.104
2025-12-14,email,nodemailer,5499,4954,545,0.9009,2606,6460,40898,1.65,0,0.034
2025-12-14,push,fcm,8208,6337,1871,0.7721,2213,4538,28145,0,0,0.025
2025-12-14,whatsapp,whatsapp_cloud,3397,3077,320,0.9058,1325,9859,18671,16.98,0,0.07
2025-12-14,in_app,internal,3649,3714,-65,1.0178,1004,7305,44205,0,0,0.061
2025-12-15,sms,msg91,16107,15356,751,0.9534,1835,10878,35855,32.21,0,0.139
2025-12-15,sms,twilio,14438,13798,640,0.9557,1490,5434,21758,28.88,0,0.054
2025-12-15,email,nodemailer,10751,9694,1057,0.9017,1974,9128,37835,3.23,0,0.072
2025-12-15,push,fcm,22590,16755,5835,0.7417,1470,7731,25705,0,0,0.118
2025-12-15,whatsapp,whatsapp_cloud,9438,8840,598,0.9366,1413,9754,38906,47.19,0,0.037
2025-12-15,in_app,internal,8141,8019,122,0.985,1423,4059,42263,0,0,0.076
2025-12-16,sms,msg91,13086,12809,277,0.9788,1472,11619,41789,26.17,0,0.147
2025-12-16,sms,twilio,16741,15939,802,0.9521,1553,10614,25715,33.48,0,0.041
2025-12-16,email,nodemailer,10758,9713,1045,0.9029,2789,9905,15023,3.23,0,0.045
2025-12-16,push,fcm,22902,17862,5040,0.7799,1137,9249,35946,0,0,0.058
2025-12-16,whatsapp,whatsapp_cloud,8662,8293,369,0.9574,963,9882,40569,43.31,0,0.033
2025-12-16,in_app,internal,7019,6890,129,0.9816,1679,9905,18634,0,0,0.039
2025-12-17,sms,msg91,14984,14734,250,0.9833,1224,6371,17825,29.97,0,0.134
2025-12-17,sms,twilio,16223,15391,832,0.9487,1000,5442,32161,32.45,0,0.079
2025-12-17,email,nodemailer,10679,9941,738,0.9309,1830,5620,40490,3.2,0,0.031
2025-12-17,push,fcm,23216,18135,5081,0.7811,1549,5940,16328,0,0,0.1
2025-12-17,whatsapp,whatsapp_cloud,9086,8586,500,0.945,2799,7244,26851,45.43,0,0.131
2025-12-17,in_app,internal,8111,7981,130,0.984,1934,10556,36825,0,0,0.056
2025-12-18,sms,msg91,16334,15882,452,0.9723,1416,6471,43317,32.67,0,0.096
2025-12-18,sms,twilio,15296,14472,824,0.9461,1640,5753,40472,30.59,0,0.082
2025-12-18,email,nodemailer,11362,10130,1232,0.8916,2661,9201,20410,3.41,0,0.128
2025-12-18,push,fcm,20304,15893,4411,0.7828,2181,4672,41878,0,0,0.142
2025-12-18,whatsapp,whatsapp_cloud,8759,8317,442,0.9495,1278,6189,37189,43.8,0,0.092
2025-12-18,in_app,internal,7920,7996,-76,1.0096,2865,11148,39474,0,0,0.149
2025-12-19,sms,msg91,13384,12822,562,0.958,2691,7060,43480,26.77,0,0.095
2025-12-19,sms,twilio,16321,16082,239,0.9854,1297,4103,18723,32.64,0,0.077
2025-12-19,email,nodemailer,12160,11103,1057,0.9131,1076,10742,41415,3.65,0,0.057
2025-12-19,push,fcm,20027,15510,4517,0.7745,2609,7346,44172,0,0,0.03
2025-12-19,whatsapp,whatsapp_cloud,9341,8925,416,0.9555,1515,10655,44488,46.7,0,0.048
2025-12-19,in_app,internal,7035,6944,91,0.9871,2269,10911,25324,0,0,0.121
2025-12-20,sms,msg91,6413,6036,377,0.9412,1804,9013,34878,12.83,0,0.143
2025-12-20,sms,twilio,6547,6430,117,0.9821,2207,11572,42959,13.09,0,0.024
2025-12-20,email,nodemailer,4861,4306,555,0.8858,2212,5127,29445,1.46,1,0.021
2025-12-20,push,fcm,10004,7416,2588,0.7413,1537,5985,20801,0,0,0.118
2025-12-20,whatsapp,whatsapp_cloud,4136,3908,228,0.9449,989,9489,17014,20.68,0,0.129
2025-12-20,in_app,internal,3354,3322,32,0.9905,1211,4170,30573,0,0,0.067
2025-12-21,sms,msg91,6213,5887,326,0.9475,918,7526,44648,12.43,3,0.092
2025-12-21,sms,twilio,5811,5666,145,0.975,1786,7980,35243,11.62,0,0.141
2025-12-21,email,nodemailer,5371,4913,458,0.9147,1714,6064,22242,1.61,0,0.084
2025-12-21,push,fcm,9189,7040,2149,0.7661,2760,7837,39048,0,0,0.133
2025-12-21,whatsapp,whatsapp_cloud,3268,3059,209,0.936,882,7044,32801,16.34,0,0.125
2025-12-21,in_app,internal,3563,3578,-15,1.0042,2795,7222,37122,0,0,0.104
2025-12-22,sms,msg91,13812,13535,277,0.9799,2989,4827,15301,27.62,0,0.121
2025-12-22,sms,twilio,16646,16153,493,0.9704,850,9275,19424,33.29,0,0.139
2025-12-22,email,nodemailer,13292,12012,1280,0.9037,1327,7995,44351,3.99,0,0.051
2025-12-22,push,fcm,23149,17517,5632,0.7567,1858,5648,20785,0,0,0.077
2025-12-22,whatsapp,whatsapp_cloud,10056,9501,555,0.9448,2096,4859,30056,50.28,0,0.07
2025-12-22,in_app,internal,8067,8080,-13,1.0016,1261,7987,21097,0,1,0.026
2025-12-23,sms,msg91,14718,14006,712,0.9516,2590,10317,21595,29.44,0,0.082
2025-12-23,sms,twilio,13460,12701,759,0.9436,1973,5652,30290,26.92,0,0.042
2025-12-23,email,nodemailer,11129,10380,749,0.9327,1064,4789,44781,3.34,0,0.135
2025-12-23,push,fcm,20987,16250,4737,0.7743,827,8957,27041,0,0,0.032
2025-12-23,whatsapp,whatsapp_cloud,8872,8119,753,0.9151,2907,6688,29858,44.36,0,0.092
2025-12-23,in_app,internal,9049,8786,263,0.9709,2393,4387,44030,0,0,0.066
2025-12-24,sms,msg91,16707,16153,554,0.9668,855,6427,38395,33.41,0,0.05
2025-12-24,sms,twilio,14477,13798,679,0.9531,2659,10807,43056,28.95,0,0.064
2025-12-24,email,nodemailer,12923,11778,1145,0.9114,901,10057,44451,3.88,0,0.03
2025-12-24,push,fcm,21978,16710,5268,0.7603,2698,8565,26496,0,0,0.134
2025-12-24,whatsapp,whatsapp_cloud,7705,7324,381,0.9506,2940,7395,38643,38.52,0,0.038
2025-12-24,in_app,internal,7750,7719,31,0.996,1510,7219,32155,0,0,0.149
2025-12-25,sms,msg91,16636,16358,278,0.9833,1239,7515,16296,33.27,0,0.035
2025-12-25,sms,twilio,15668,14760,908,0.942,2257,9191,21027,31.34,0,0.027
2025-12-25,email,nodemailer,11896,10708,1188,0.9001,1732,5188,40905,3.57,0,0.082
2025-12-25,push,fcm,25102,18701,6401,0.745,1777,7799,28341,0,0,0.122
2025-12-25,whatsapp,whatsapp_cloud,9068,8417,651,0.9282,1753,10222,33099,45.34,0,0.05
2025-12-25,in_app,internal,6928,7049,-121,1.0175,2917,10720,36816,0,0,0.111
2025-12-26,sms,msg91,14195,13521,674,0.9525,1954,7140,37262,28.39,0,0.035
2025-12-26,sms,twilio,14759,13888,871,0.941,2338,4586,31314,29.52,0,0.085
2025-12-26,email,nodemailer,13610,12337,1273,0.9065,1082,11593,44067,4.08,0,0.113
2025-12-26,push,fcm,24351,18510,5841,0.7601,1935,11853,41716,0,0,0.116
2025-12-26,whatsapp,whatsapp_cloud,9488,8983,505,0.9468,2667,6869,37494,47.44,0,0.034
2025-12-26,in_app,internal,7213,7024,189,0.9738,2701,4056,25053,0,0,0.144
2025-12-27,sms,msg91,5223,5110,113,0.9784,2758,10611,36832,10.45,0,0.068
2025-12-27,sms,twilio,6849,6502,347,0.9493,2915,10192,38484,13.7,0,0.076
2025-12-27,email,nodemailer,4549,4028,521,0.8855,1352,10410,20255,1.36,0,0.022
2025-12-27,push,fcm,8289,6285,2004,0.7582,1411,9263,33979,0,0,0.135
2025-12-27,whatsapp,whatsapp_cloud,4073,3764,309,0.9241,1762,11738,26404,20.37,0,0.077
2025-12-27,in_app,internal,3244,3193,51,0.9843,2807,11160,23160,0,0,0.118
2025-12-28,sms,msg91,6350,6018,332,0.9477,2562,7650,19132,12.7,0,0.064
2025-12-28,sms,twilio,5561,5463,98,0.9824,2911,10018,21920,11.12,0,0.13
2025-12-28,email,nodemailer,4271,3897,374,0.9124,2047,6815,27426,1.28,0,0.142
2025-12-28,push,fcm,8125,6323,1802,0.7782,2004,8881,19009,0,0,0.124
2025-12-28,whatsapp,whatsapp_cloud,3593,3291,302,0.9159,2571,4259,42212,17.96,0,0.045
2025-12-28,in_app,internal,3307,3337,-30,1.0091,2001,9251,43351,0,0,0.053
2025-12-29,sms,msg91,14919,14211,708,0.9525,1038,6096,33347,29.84,0,0.025
2025-12-29,sms,twilio,13466,13009,457,0.9661,1119,8504,22252,26.93,0,0.138
2025-12-29,email,nodemailer,13193,11856,1337,0.8987,2545,10661,26180,3.96,0,0.045
2025-12-29,push,fcm,20187,15506,4681,0.7681,2670,9286,28817,0,0,0.07
2025-12-29,whatsapp,whatsapp_cloud,8018,7617,401,0.95,1889,4386,24004,40.09,0,0.098
2025-12-29,in_app,internal,8252,8295,-43,1.0052,1073,4726,35319,0,0,0.066
2025-12-30,sms,msg91,13296,12527,769,0.9422,1325,11799,32489,26.59,0,0.049
2025-12-30,sms,twilio,13156,12285,871,0.9338,1291,8082,39940,26.31,0,0.117
2025-12-30,email,nodemailer,10717,9495,1222,0.886,817,8658,37073,3.22,0,0.091
2025-12-30,push,fcm,21829,16435,5394,0.7529,2715,11251,15868,0,0,0.046
2025-12-30,whatsapp,whatsapp_cloud,9388,8965,423,0.9549,2461,7682,24400,46.94,0,0.132
2025-12-30,in_app,internal,8964,8914,50,0.9944,2248,11847,29079,0,0,0.137
2025-12-31,sms,msg91,15208,14540,668,0.9561,905,7516,27705,30.42,0,0.102
2025-12-31,sms,twilio,13900,13311,589,0.9576,1506,11446,42509,27.8,0,0.102
2025-12-31,email,nodemailer,10284,9376,908,0.9117,1158,6076,27363,3.09,0,0.033
2025-12-31,push,fcm,20968,15787,5181,0.7529,1289,8437,43008,0,0,0.061
2025-12-31,whatsapp,whatsapp_cloud,7951,7594,357,0.9551,2034,9833,17690,39.76,0,0.142
2025-12-31,in_app,internal,7439,7247,192,0.9742,2027,6206,35324,0,0,0.127
2026-01-01,sms,msg91,14869,14053,816,0.9451,1182,8224,28462,29.74,0,0.142
2026-01-01,sms,twilio,12875,12571,304,0.9764,911,7535,33380,25.75,0,0.147
2026-01-01,email,nodemailer,11260,10015,1245,0.8894,2264,9003,25984,3.38,3,0.045
2026-01-01,push,fcm,22617,16814,5803,0.7434,1504,10621,19749,0,0,0.046
2026-01-01,whatsapp,whatsapp_cloud,7787,7252,535,0.9313,1428,6671,33932,38.94,0,0.111
2026-01-01,in_app,internal,7656,7512,144,0.9812,1222,5654,33913,0,0,0.127
2026-01-02,sms,msg91,15081,14268,813,0.9461,2912,8933,37390,30.16,0,0.074
2026-01-02,sms,twilio,16845,16397,448,0.9734,1336,6497,23343,33.69,0,0.111
2026-01-02,email,nodemailer,12765,11804,961,0.9247,2255,5098,35605,3.83,0,0.075
2026-01-02,push,fcm,23397,18311,5086,0.7826,1864,10565,41668,0,0,0.029
2026-01-02,whatsapp,whatsapp_cloud,7851,7126,725,0.9077,2466,10470,29558,39.26,0,0.096
2026-01-02,in_app,internal,7674,7779,-105,1.0137,1024,7044,20331,0,0,0.106
2026-01-03,sms,msg91,5229,5115,114,0.9782,973,7588,35134,10.46,0,0.122
2026-01-03,sms,twilio,6654,6236,418,0.9372,2433,5040,31075,13.31,0,0.022
2026-01-03,email,nodemailer,4143,3800,343,0.9172,1699,6361,21173,1.24,0,0.076
2026-01-03,push,fcm,10091,7599,2492,0.753,909,10968,44200,0,0,0.079
2026-01-03,whatsapp,whatsapp_cloud,3846,3576,270,0.9298,2271,10565,23907,19.23,0,0.143
2026-01-03,in_app,internal,3552,3539,13,0.9963,2485,7533,34310,0,0,0.047
2026-01-04,sms,msg91,6297,5976,321,0.949,2240,9877,19538,12.59,0,0.138
2026-01-04,sms,twilio,6841,6473,368,0.9462,2969,9590,37935,13.68,0,0.137
2026-01-04,email,nodemailer,5442,4871,571,0.8951,1569,10834,20508,1.63,0,0.094
2026-01-04,push,fcm,9918,7428,2490,0.7489,2839,6681,24163,0,0,0.107
2026-01-04,whatsapp,whatsapp_cloud,3807,3511,296,0.9222,1746,10951,21244,19.04,0,0.066
2026-01-04,in_app,internal,2869,2817,52,0.9819,1590,5396,15458,0,0,0.071
2026-01-05,sms,msg91,14869,14050,819,0.9449,2624,10435,20782,29.74,0,0.122
2026-01-05,sms,twilio,13129,12279,850,0.9353,1614,11686,17811,26.26,0,0.059
2026-01-05,email,nodemailer,11151,10383,768,0.9311,1802,9539,22256,3.35,0,0.084
2026-01-05,push,fcm,19974,15020,4954,0.752,1152,6583,22157,0,0,0.029
2026-01-05,whatsapp,whatsapp_cloud,8548,8024,524,0.9387,1495,9260,31644,42.74,0,0.043
2026-01-05,in_app,internal,8365,8202,163,0.9805,2792,11745,18856,0,0,0.08
2026-01-06,sms,msg91,14532,14306,226,0.9844,906,4440,28741,29.06,0,0.122
2026-01-06,sms,twilio,13277,12876,401,0.9698,2850,4221,33278,26.55,0,0.048
2026-01-06,email,nodemailer,10244,9122,1122,0.8905,2932,8612,19763,3.07,0,0.103
2026-01-06,push,fcm,24422,18679,5743,0.7648,2430,6218,24782,0,0,0.043
2026-01-06,whatsapp,whatsapp_cloud,8767,8201,566,0.9354,1403,7619,21639,43.84,0,0.123
2026-01-06,in_app,internal,8125,8289,-164,1.0202,1108,5718,44639,0,0,0.022
2026-01-07,sms,msg91,16245,15603,642,0.9605,2443,11833,22617,32.49,0,0.135
2026-01-07,sms,twilio,16561,15486,1075,0.9351,2558,9677,23348,33.12,0,0.119
2026-01-07,email,nodemailer,10909,9697,1212,0.8889,1906,8706,31650,3.27,0,0.085
2026-01-07,push,fcm,20346,15250,5096,0.7495,1190,4428,31795,0,0,0.133
2026-01-07,whatsapp,whatsapp_cloud,7903,7452,451,0.9429,1486,7196,29795,39.52,0,0.047
2026-01-07,in_app,internal,8416,8205,211,0.9749,2059,9720,35637,0,0,0.149
2026-01-08,sms,msg91,13379,12939,440,0.9671,1365,5992,44467,26.76,0,0.08
2026-01-08,sms,twilio,13502,13039,463,0.9657,1706,10606,33476,27.0,0,0.07
2026-01-08,email,nodemailer,12068,10656,1412,0.883,2786,11062,30129,3.62,0,0.069
2026-01-08,push,fcm,21614,16572,5042,0.7667,2074,4568,32849,0,0,0.034
2026-01-08,whatsapp,whatsapp_cloud,9567,8874,693,0.9276,1220,8658,19804,47.84,0,0.048
2026-01-08,in_app,internal,9174,8991,183,0.9801,2232,4056,28481,0,0,0.057
2026-01-09,sms,msg91,15973,15455,518,0.9676,2746,8943,27749,31.95,0,0.045
2026-01-09,sms,twilio,15954,15345,609,0.9618,1398,8864,33733,31.91,0,0.095
2026-01-09,email,nodemailer,10310,9581,729,0.9293,1002,8159,38158,3.09,0,0.074
2026-01-09,push,fcm,24425,18296,6129,0.7491,2479,5769,21959,0,0,0.061
2026-01-09,whatsapp,whatsapp_cloud,9260,8444,816,0.9119,1841,10044,17726,46.3,0,0.026
2026-01-09,in_app,internal,8783,9006,-223,1.0254,1211,6719,34408,0,0,0.119
2026-01-10,sms,msg91,5906,5677,229,0.9612,2131,4571,41097,11.81,0,0.131
2026-01-10,sms,twilio,6645,6474,171,0.9743,981,4088,36578,13.29,0,0.131
2026-01-10,email,nodemailer,4685,4312,373,0.9204,2464,11917,44847,1.41,0,0.14
2026-01-10,push,fcm,9683,7346,2337,0.7586,2671,8787,43391,0,0,0.132
2026-01-10,whatsapp,whatsapp_cloud,3730,3532,198,0.9469,975,7451,34691,18.65,3,0.079
2026-01-10,in_app,internal,3669,3651,18,0.9951,2857,9376,41720,0,0,0.074
2026-01-11,sms,msg91,6196,5955,241,0.9611,2537,8121,24899,12.39,0,0.112
2026-01-11,sms,twilio,6629,6319,310,0.9532,2124,6329,33038,13.26,0,0.061
2026-01-11,email,nodemailer,4508,3991,517,0.8853,2370,4274,21203,1.35,0,0.084
2026-01-11,push,fcm,8324,6453,1871,0.7752,1775,8954,44262,0,0,0.107
2026-01-11,whatsapp,whatsapp_cloud,3886,3590,296,0.9238,2911,8065,38771,19.43,1,0.049
2026-01-11,in_app,internal,2937,2946,-9,1.0031,1643,10331,43553,0,0,0.101
2026-01-12,sms,msg91,16730,16218,512,0.9694,2227,6820,21451,33.46,0,0.046
2026-01-12,sms,twilio,15021,14487,534,0.9644,2406,8658,21920,30.04,0,0.043
2026-01-12,email,nodemailer,11705,10505,1200,0.8975,2393,10927,20567,3.51,0,0.114
2026-01-12,push,fcm,19142,14389,4753,0.7517,1802,6790,20330,0,0,0.126
2026-01-12,whatsapp,whatsapp_cloud,9035,8651,384,0.9575,1532,5290,16643,45.18,0,0.021
2026-01-12,in_app,internal,7272,7297,-25,1.0034,1627,5133,17495,0,0,0.073
2026-01-13,sms,msg91,16496,15876,620,0.9624,1067,8185,43604,32.99,0,0.093
2026-01-13,sms,twilio,14813,14290,523,0.9647,2196,6511,31114,29.63,0,0.134
2026-01-13,email,nodemailer,11736,10629,1107,0.9057,1623,10090,38210,3.52,0,0.066
2026-01-13,push,fcm,25024,19160,5864,0.7657,2751,6505,15812,0,0,0.076
2026-01-13,whatsapp,whatsapp_cloud,8982,8448,534,0.9405,2192,7097,35180,44.91,0,0.096
2026-01-13,in_app,internal,8322,8555,-233,1.028,1644,7931,44744,0,0,0.089
2026-01-14,sms,msg91,15619,15288,331,0.9788,1391,6358,22413,31.24,0,0.131
2026-01-14,sms,twilio,16404,15350,1054,0.9357,1989,6099,25001,32.81,0,0.073
2026-01-14,email,nodemailer,13263,12304,959,0.9277,1859,7684,17001,3.98,0,0.147
2026-01-14,push,fcm,20771,15529,5242,0.7476,2781,11250,25922,0,0,0.127
2026-01-14,whatsapp,whatsapp_cloud,8971,8295,676,0.9246,1174,6627,19320,44.86,0,0.088
2026-01-14,in_app,internal,8586,8750,-164,1.0191,1211,10688,41737,0,0,0.087
2026-01-15,sms,msg91,13994,13410,584,0.9583,1127,7018,21081,27.99,0,0.127
2026-01-15,sms,twilio,13131,12789,342,0.974,1860,10980,17736,26.26,0,0.036
2026-01-15,email,nodemailer,10544,9484,1060,0.8995,1294,9539,17865,3.16,0,0.114
2026-01-15,push,fcm,19109,14333,4776,0.7501,1200,6337,33443,0,0,0.082
2026-01-15,whatsapp,whatsapp_cloud,9098,8208,890,0.9022,1281,8104,25845,45.49,0,0.129
2026-01-15,in_app,internal,7819,7832,-13,1.0017,1432,10495,31035,0,0,0.1
2026-01-16,sms,msg91,14758,14413,345,0.9766,874,8716,44406,29.52,0,0.102
2026-01-16,sms,twilio,14338,14019,319,0.9778,890,6289,41995,28.68,0,0.102
2026-01-16,email,nodemailer,12389,11463,926,0.9253,1208,7539,30372,3.72,0,0.074
2026-01-16,push,fcm,20533,15912,4621,0.7749,1240,6934,16789,0,0,0.099
2026-01-16,whatsapp,whatsapp_cloud,8517,7903,614,0.9279,2057,5940,18522,42.59,0,0.136
2026-01-16,in_app,internal,8741,8966,-225,1.0257,2095,7663,26144,0,0,0.025
2026-01-17,sms,msg91,5150,4981,169,0.9672,969,8385,26056,10.3,0,0.115
2026-01-17,sms,twilio,6444,6346,98,0.9848,1296,10143,40733,12.89,0,0.025
2026-01-17,email,nodemailer,4367,3980,387,0.9114,1743,4037,23746,1.31,0,0.102
2026-01-17,push,fcm,9946,7548,2398,0.7589,1269,9549,33903,0,0,0.116
2026-01-17,whatsapp,whatsapp_cloud,4120,3779,341,0.9172,2130,4048,18103,20.6,0,0.029
2026-01-17,in_app,internal,3679,3575,104,0.9717,2827,9126,23793,0,0,0.021
2026-01-18,sms,msg91,6349,6248,101,0.9841,2054,10957,18944,12.7,0,0.086
2026-01-18,sms,twilio,6806,6689,117,0.9828,1794,5200,28842,13.61,0,0.07
2026-01-18,email,nodemailer,4118,3762,356,0.9136,2563,5959,27723,1.24,0,0.027
2026-01-18,push,fcm,8731,6541,2190,0.7492,2864,6230,32205,0,0,0.144
2026-01-18,whatsapp,whatsapp_cloud,3593,3270,323,0.9101,2832,10131,27908,17.96,0,0.119
2026-01-18,in_app,internal,3625,3558,67,0.9815,2740,6023,22890,0,0,0.081
