notification_id,channel,provider,failure_code,failure_reason,retry_count,final_status,timestamp
notif-22,sms,twilio,PROVIDER_TIMEOUT,provider_timeout,3,FAILED,2026-04-24T10:39:55.599Z
notif-23,sms,twilio,NETWORK_ERROR,network_error,2,FAILED,2026-05-13T09:01:55.599Z
notif-24,sms,twilio,INVALID_RECIPIENT,invalid_recipient,4,FAILED,2026-06-14T19:09:55.599Z
notif-25,email,nodemailer,INVALID_TEMPLATE,invalid_template,2,DLQ,2026-06-06T19:09:55.599Z
notif-26,push,fcm,PROVIDER_TIMEOUT,provider_timeout,2,FAILED,2026-05-08T10:06:55.599Z
notif-27,in_app,in_app,DND_BLOCKED,dnd_blocked,1,FAILED,2026-05-05T19:09:55.599Z
notif-28,push,fcm,PROVIDER_TIMEOUT,provider_timeout,1,FAILED,2026-04-03T11:43:55.599Z
notif-29,email,nodemailer,INVALID_TEMPLATE,invalid_template,4,FAILED,2026-05-06T19:09:55.599Z
notif-30,push,fcm,PROVIDER_TIMEOUT,provider_timeout,3,FAILED,2026-04-26T19:09:55.599Z
notif-31,whatsapp,whatsapp_cloud,INVALID_RECIPIENT,invalid_recipient,1,DLQ,2026-04-07T13:29:55.599Z
notif-32,email,nodemailer,INVALID_RECIPIENT,invalid_recipient,5,FAILED,2026-04-20T19:09:55.599Z
notif-33,whatsapp,whatsapp_cloud,DND_BLOCKED,dnd_blocked,4,FAILED,2026-05-12T19:09:55.599Z
notif-34,push,fcm,INVALID_TEMPLATE,invalid_template,1,DLQ,2026-05-22T10:32:55.599Z
notif-35,email,nodemailer,INVALID_TEMPLATE,invalid_template,1,FAILED,2026-04-11T12:02:55.599Z
notif-36,in_app,in_app,RATE_LIMITED,rate_limited,3,FAILED,2026-04-06T08:57:55.599Z
notif-37,in_app,in_app,NETWORK_ERROR,network_error,3,DLQ,2026-05-28T08:58:55.599Z
notif-38,email,nodemailer,PROVIDER_TIMEOUT,provider_timeout,2,FAILED,2026-06-04T19:09:55.599Z
notif-39,whatsapp,whatsapp_cloud,INVALID_TEMPLATE,invalid_template,2,FAILED,2026-04-22T08:21:55.599Z
notif-40,sms,msg91,EXPIRED_TOKEN,expired_token,3,FAILED,2026-04-03T11:14:55.599Z
notif-41,sms,msg91,RATE_LIMITED,rate_limited,3,FAILED,2026-04-09T13:35:55.599Z
notif-42,sms,twilio,DND_BLOCKED,dnd_blocked,4,FAILED,2026-05-01T19:09:55.599Z
notif-43,in_app,in_app,DND_BLOCKED,dnd_blocked,3,FAILED,2026-03-31T19:09:55.599Z
notif-44,in_app,in_app,EXPIRED_TOKEN,expired_token,3,DLQ,2026-06-12T12:37:55.599Z
notif-45,in_app,in_app,RATE_LIMITED,rate_limited,2,FAILED,2026-04-23T12:10:55.599Z
notif-46,sms,msg91,NETWORK_ERROR,network_error,1,DLQ,2026-05-10T11:04:55.599Z
notif-47,whatsapp,whatsapp_cloud,INVALID_RECIPIENT,invalid_recipient,4,FAILED,2026-05-25T12:43:55.599Z
notif-48,whatsapp,whatsapp_cloud,PROVIDER_TIMEOUT,provider_timeout,5,DLQ,2026-04-24T19:09:55.599Z
notif-49,in_app,in_app,NETWORK_ERROR,network_error,4,DLQ,2026-05-18T13:55:55.599Z
notif-50,whatsapp,whatsapp_cloud,RATE_LIMITED,rate_limited,1,FAILED,2026-04-02T12:20:55.599Z
notif-51,whatsapp,whatsapp_cloud,RATE_LIMITED,rate_limited,3,DLQ,2026-04-14T19:09:55.599Z
notif-52,push,fcm,RATE_LIMITED,rate_limited,4,FAILED,2026-04-25T10:51:55.599Z
notif-53,in_app,in_app,EXPIRED_TOKEN,expired_token,1,DLQ,2026-04-01T08:54:55.599Z
notif-54,sms,msg91,INVALID_RECIPIENT,invalid_recipient,4,FAILED,2026-03-31T19:09:55.599Z
notif-55,in_app,in_app,EXPIRED_TOKEN,expired_token,1,FAILED,2026-04-22T19:09:55.599Z
notif-56,whatsapp,whatsapp_cloud,EXPIRED_TOKEN,expired_token,4,FAILED,2026-04-21T08:53:55.599Z
notif-57,sms,msg91,PROVIDER_TIMEOUT,provider_timeout,4,FAILED,2026-04-16T09:24:55.599Z
notif-58,in_app,in_app,NETWORK_ERROR,network_error,2,DLQ,2026-05-07T13:15:55.599Z
notif-59,in_app,in_app,NETWORK_ERROR,network_error,5,FAILED,2026-05-25T10:06:55.599Z
notif-60,in_app,in_app,INVALID_RECIPIENT,invalid_recipient,5,FAILED,2026-05-04T09:34:55.599Z
notif-61,email,nodemailer,EXPIRED_TOKEN,expired_token,5,FAILED,2026-05-01T11:21:55.599Z
notif-62,email,nodemailer,RATE_LIMITED,rate_limited,1,DLQ,2026-05-31T11:01:55.599Z
notif-63,email,nodemailer,EXPIRED_TOKEN,expired_token,2,FAILED,2026-04-02T11:59:55.599Z
notif-64,whatsapp,whatsapp_cloud,INVALID_RECIPIENT,invalid_recipient,3,FAILED,2026-06-15T13:38:55.599Z
notif-65,push,fcm,INVALID_RECIPIENT,invalid_recipient,1,FAILED,2026-03-30T12:16:55.599Z
notif-66,push,fcm,DND_BLOCKED,dnd_blocked,2,FAILED,2026-05-15T19:09:55.599Z
notif-67,sms,twilio,DND_BLOCKED,dnd_blocked,1,FAILED,2026-04-21T09:24:55.599Z
notif-68,sms,msg91,PROVIDER_TIMEOUT,provider_timeout,4,FAILED,2026-03-26T13:32:55.599Z
notif-69,email,nodemailer,PROVIDER_TIMEOUT,provider_timeout,4,FAILED,2026-05-19T09:26:55.599Z
notif-70,email,nodemailer,NETWORK_ERROR,network_error,4,FAILED,2026-04-02T11:50:55.599Z
notif-71,push,fcm,NETWORK_ERROR,network_error,4,FAILED,2026-05-08T08:17:55.599Z
notif-72,sms,msg91,INVALID_RECIPIENT,invalid_recipient,2,FAILED,2026-04-06T13:34:55.599Z
notif-73,sms,msg91,INVALID_TEMPLATE,invalid_template,1,DLQ,2026-05-18T11:36:55.599Z
notif-74,email,nodemailer,PROVIDER_TIMEOUT,provider_timeout,5,FAILED,2026-06-12T13:43:55.599Z
notif-75,whatsapp,whatsapp_cloud,EXPIRED_TOKEN,expired_token,1,DLQ,2026-05-18T09:26:55.599Z
notif-76,email,nodemailer,RATE_LIMITED,rate_limited,1,FAILED,2026-04-12T19:09:55.599Z
notif-77,whatsapp,whatsapp_cloud,RATE_LIMITED,rate_limited,5,FAILED,2026-04-17T10:13:55.599Z
notif-78,sms,twilio,EXPIRED_TOKEN,expired_token,5,FAILED,2026-05-20T08:16:55.599Z
notif-79,in_app,in_app,RATE_LIMITED,rate_limited,3,DLQ,2026-06-01T12:27:55.599Z
notif-80,sms,twilio,EXPIRED_TOKEN,expired_token,4,FAILED,2026-04-28T09:33:55.599Z
notif-81,in_app,in_app,INVALID_RECIPIENT,invalid_recipient,2,DLQ,2026-04-20T08:55:55.599Z
notif-82,in_app,in_app,NETWORK_ERROR,network_error,5,FAILED,2026-06-02T19:09:55.599Z
notif-83,email,nodemailer,INVALID_RECIPIENT,invalid_recipient,3,DLQ,2026-06-12T11:46:55.599Z
notif-84,email,nodemailer,RATE_LIMITED,rate_limited,5,FAILED,2026-03-22T12:31:55.599Z
notif-85,push,fcm,INVALID_RECIPIENT,invalid_recipient,3,FAILED,2026-03-31T11:17:55.599Z
notif-86,in_app,in_app,PROVIDER_TIMEOUT,provider_timeout,2,DLQ,2026-04-25T19:09:55.599Z
notif-87,push,fcm,INVALID_RECIPIENT,invalid_recipient,2,DLQ,2026-04-29T12:48:55.599Z
notif-88,push,fcm,EXPIRED_TOKEN,expired_token,2,DLQ,2026-04-29T13:34:55.599Z
notif-89,in_app,in_app,RATE_LIMITED,rate_limited,1,FAILED,2026-06-06T09:13:55.599Z
notif-90,sms,msg91,RATE_LIMITED,rate_limited,3,DLQ,2026-04-25T11:35:55.599Z
notif-91,whatsapp,whatsapp_cloud,INVALID_RECIPIENT,invalid_recipient,5,FAILED,2026-05-03T13:15:55.599Z
notif-92,whatsapp,whatsapp_cloud,DND_BLOCKED,dnd_blocked,1,DLQ,2026-03-27T19:09:55.599Z
notif-93,email,nodemailer,NETWORK_ERROR,network_error,1,FAILED,2026-03-30T12:44:55.599Z
notif-94,push,fcm,RATE_LIMITED,rate_limited,5,FAILED,2026-05-07T19:09:55.599Z
notif-95,email,nodemailer,NETWORK_ERROR,network_error,5,FAILED,2026-04-15T12:48:55.599Z
notif-96,whatsapp,whatsapp_cloud,PROVIDER_TIMEOUT,provider_timeout,2,FAILED,2026-05-26T10:52:55.599Z
notif-97,in_app,in_app,INVALID_TEMPLATE,invalid_template,2,DLQ,2026-03-20T08:24:55.599Z
notif-98,email,nodemailer,INVALID_RECIPIENT,invalid_recipient,5,FAILED,2026-03-21T12:24:55.599Z
notif-99,push,fcm,EXPIRED_TOKEN,expired_token,2,FAILED,2026-04-14T19:09:55.599Z
notif-100,email,nodemailer,INVALID_TEMPLATE,invalid_template,3,DLQ,2026-06-12T13:41:55.599Z
notif-101,whatsapp,whatsapp_cloud,EXPIRED_TOKEN,expired_token,3,FAILED,2026-05-29T13:28:55.599Z
notif-102,whatsapp,whatsapp_cloud,NETWORK_ERROR,network_error,2,FAILED,2026-04-17T13:48:55.599Z
notif-103,whatsapp,whatsapp_cloud,RATE_LIMITED,rate_limited,2,FAILED,2026-04-03T09:52:55.599Z
notif-104,in_app,in_app,RATE_LIMITED,rate_limited,4,FAILED,2026-06-08T12:55:55.599Z
notif-105,in_app,in_app,INVALID_TEMPLATE,invalid_template,2,FAILED,2026-05-24T11:34:55.599Z
notif-106,email,nodemailer,INVALID_TEMPLATE,invalid_template,3,DLQ,2026-05-11T11:36:55.599Z
notif-107,whatsapp,whatsapp_cloud,EXPIRED_TOKEN,expired_token,4,DLQ,2026-04-07T19:09:55.599Z
notif-108,whatsapp,whatsapp_cloud,NETWORK_ERROR,network_error,4,FAILED,2026-04-04T11:48:55.599Z
notif-109,whatsapp,whatsapp_cloud,PROVIDER_TIMEOUT,provider_timeout,1,DLQ,2026-05-28T10:21:55.599Z
notif-110,whatsapp,whatsapp_cloud,EXPIRED_TOKEN,expired_token,5,FAILED,2026-04-16T13:49:55.599Z
notif-111,whatsapp,whatsapp_cloud,NETWORK_ERROR,network_error,2,FAILED,2026-06-04T19:09:55.599Z
notif-112,sms,twilio,RATE_LIMITED,rate_limited,2,FAILED,2026-04-06T08:12:55.599Z
notif-113,whatsapp,whatsapp_cloud,EXPIRED_TOKEN,expired_token,3,FAILED,2026-05-21T12:54:55.599Z
notif-114,whatsapp,whatsapp_cloud,NETWORK_ERROR,network_error,3,FAILED,2026-04-05T13:08:55.599Z
notif-115,push,fcm,EXPIRED_TOKEN,expired_token,5,DLQ,2026-04-15T08:57:55.599Z
notif-116,sms,msg91,DND_BLOCKED,dnd_blocked,2,DLQ,2026-06-13T12:25:55.599Z
notif-117,email,nodemailer,EXPIRED_TOKEN,expired_token,1,FAILED,2026-03-29T10:46:55.599Z
notif-118,push,fcm,RATE_LIMITED,rate_limited,3,FAILED,2026-03-24T10:34:55.599Z
notif-119,email,nodemailer,PROVIDER_TIMEOUT,provider_timeout,4,FAILED,2026-04-07T08:02:55.599Z
notif-120,push,fcm,PROVIDER_TIMEOUT,provider_timeout,1,FAILED,2026-06-08T12:56:55.599Z
notif-121,whatsapp,whatsapp_cloud,DND_BLOCKED,dnd_blocked,4,FAILED,2026-05-15T19:09:55.599Z
notif-122,whatsapp,whatsapp_cloud,NETWORK_ERROR,network_error,4,FAILED,2026-03-20T12:49:55.599Z
notif-123,in_app,in_app,EXPIRED_TOKEN,expired_token,2,DLQ,2026-05-15T19:09:55.599Z
notif-124,email,nodemailer,PROVIDER_TIMEOUT,provider_timeout,5,DLQ,2026-03-23T19:09:55.599Z
notif-125,sms,msg91,INVALID_RECIPIENT,invalid_recipient,2,FAILED,2026-04-15T19:09:55.599Z
notif-126,in_app,in_app,EXPIRED_TOKEN,expired_token,4,FAILED,2026-04-27T08:02:55.599Z
notif-127,in_app,in_app,INVALID_RECIPIENT,invalid_recipient,2,FAILED,2026-05-11T12:52:55.599Z
notif-128,sms,twilio,INVALID_RECIPIENT,invalid_recipient,1,FAILED,2026-03-22T12:42:55.599Z
notif-129,whatsapp,whatsapp_cloud,INVALID_RECIPIENT,invalid_recipient,5,DLQ,2026-04-26T09:25:55.599Z
notif-130,sms,msg91,INVALID_RECIPIENT,invalid_recipient,1,FAILED,2026-05-10T19:09:55.599Z
notif-131,push,fcm,PROVIDER_TIMEOUT,provider_timeout,4,FAILED,2026-04-01T19:09:55.599Z
notif-132,push,fcm,RATE_LIMITED,rate_limited,5,DLQ,2026-04-12T13:45:55.599Z
notif-133,whatsapp,whatsapp_cloud,EXPIRED_TOKEN,expired_token,4,FAILED,2026-05-30T10:08:55.599Z
notif-134,email,nodemailer,EXPIRED_TOKEN,expired_token,2,FAILED,2026-05-19T09:58:55.599Z
notif-135,sms,msg91,INVALID_RECIPIENT,invalid_recipient,3,FAILED,2026-05-30T09:23:55.599Z
notif-136,push,fcm,RATE_LIMITED,rate_limited,4,DLQ,2026-04-11T11:31:55.599Z
notif-137,email,nodemailer,RATE_LIMITED,rate_limited,5,DLQ,2026-04-18T08:35:55.599Z
notif-138,sms,twilio,EXPIRED_TOKEN,expired_token,1,DLQ,2026-05-08T13:20:55.599Z
notif-139,whatsapp,whatsapp_cloud,EXPIRED_TOKEN,expired_token,4,FAILED,2026-04-16T19:09:55.599Z
notif-140,in_app,in_app,NETWORK_ERROR,network_error,1,DLQ,2026-05-01T09:02:55.599Z
notif-141,sms,msg91,INVALID_TEMPLATE,invalid_template,5,FAILED,2026-04-04T08:20:55.599Z
notif-142,whatsapp,whatsapp_cloud,PROVIDER_TIMEOUT,provider_timeout,2,FAILED,2026-05-12T19:09:55.599Z
notif-143,push,fcm,PROVIDER_TIMEOUT,provider_timeout,3,DLQ,2026-05-03T09:12:55.599Z
notif-144,sms,twilio,PROVIDER_TIMEOUT,provider_timeout,1,FAILED,2026-05-19T08:00:55.599Z
notif-145,in_app,in_app,INVALID_RECIPIENT,invalid_recipient,4,DLQ,2026-03-22T09:41:55.599Z
notif-146,in_app,in_app,DND_BLOCKED,dnd_blocked,1,FAILED,2026-05-26T19:09:55.599Z
notif-147,push,fcm,INVALID_RECIPIENT,invalid_recipient,3,DLQ,2026-05-05T19:09:55.599Z
notif-148,sms,msg91,INVALID_TEMPLATE,invalid_template,4,DLQ,2026-05-04T08:39:55.599Z
notif-149,sms,twilio,PROVIDER_TIMEOUT,provider_timeout,3,FAILED,2026-04-19T13:29:55.599Z
notif-150,email,nodemailer,RATE_LIMITED,rate_limited,3,FAILED,2026-05-01T12:49:55.599Z
notif-151,in_app,in_app,INVALID_TEMPLATE,invalid_template,4,FAILED,2026-05-19T13:25:55.599Z
notif-152,in_app,in_app,NETWORK_ERROR,network_error,3,DLQ,2026-04-10T08:00:55.599Z
notif-153,in_app,in_app,RATE_LIMITED,rate_limited,5,FAILED,2026-04-22T19:09:55.599Z
notif-154,push,fcm,INVALID_TEMPLATE,invalid_template,3,FAILED,2026-06-04T19:09:55.599Z
notif-155,email,nodemailer,INVALID_TEMPLATE,invalid_template,5,FAILED,2026-04-03T09:43:55.599Z
notif-156,sms,msg91,PROVIDER_TIMEOUT,provider_timeout,4,DLQ,2026-05-19T12:05:55.599Z
notif-157,whatsapp,whatsapp_cloud,EXPIRED_TOKEN,expired_token,4,DLQ,2026-04-21T12:07:55.599Z
notif-158,in_app,in_app,EXPIRED_TOKEN,expired_token,3,FAILED,2026-04-28T19:09:55.599Z
notif-159,sms,msg91,INVALID_RECIPIENT,invalid_recipient,4,FAILED,2026-06-05T12:39:55.599Z
notif-160,whatsapp,whatsapp_cloud,INVALID_TEMPLATE,invalid_template,2,FAILED,2026-04-12T12:01:55.599Z
notif-161,email,nodemailer,INVALID_TEMPLATE,invalid_template,5,FAILED,2026-05-29T09:34:55.599Z
notif-162,sms,msg91,NETWORK_ERROR,network_error,2,DLQ,2026-05-14T10:03:55.599Z
notif-163,in_app,in_app,EXPIRED_TOKEN,expired_token,1,DLQ,2026-06-06T13:02:55.599Z
notif-164,email,nodemailer,RATE_LIMITED,rate_limited,3,DLQ,2026-03-23T08:57:55.599Z
notif-165,sms,msg91,DND_BLOCKED,dnd_blocked,2,FAILED,2026-03-28T19:09:55.599Z
notif-166,email,nodemailer,RATE_LIMITED,rate_limited,1,FAILED,2026-05-12T10:21:55.599Z
notif-167,push,fcm,NETWORK_ERROR,network_error,2,FAILED,2026-04-15T11:05:55.599Z
notif-168,email,nodemailer,RATE_LIMITED,rate_limited,4,DLQ,2026-04-09T11:03:55.599Z
notif-169,in_app,in_app,DND_BLOCKED,dnd_blocked,2,FAILED,2026-05-22T19:09:55.599Z
notif-170,in_app,in_app,NETWORK_ERROR,network_error,3,FAILED,2026-04-29T09:51:55.599Z
notif-171,whatsapp,whatsapp_cloud,INVALID_RECIPIENT,invalid_recipient,3,FAILED,2026-03-27T19:09:55.599Z
notif-172,sms,msg91,INVALID_RECIPIENT,invalid_recipient,1,DLQ,2026-05-23T09:18:55.599Z
notif-173,email,nodemailer,RATE_LIMITED,rate_limited,3,DLQ,2026-05-20T13:24:55.599Z
notif-174,email,nodemailer,EXPIRED_TOKEN,expired_token,4,FAILED,2026-04-10T08:34:55.599Z
notif-175,whatsapp,whatsapp_cloud,NETWORK_ERROR,network_error,4,FAILED,2026-04-05T11:42:55.599Z
notif-176,in_app,in_app,NETWORK_ERROR,network_error,5,DLQ,2026-05-06T11:08:55.599Z
notif-177,push,fcm,INVALID_TEMPLATE,invalid_template,3,FAILED,2026-04-24T11:10:55.599Z
notif-178,email,nodemailer,INVALID_TEMPLATE,invalid_template,5,FAILED,2026-06-13T13:21:55.599Z
notif-179,sms,twilio,INVALID_RECIPIENT,invalid_recipient,1,DLQ,2026-05-15T09:58:55.599Z
notif-180,in_app,in_app,INVALID_TEMPLATE,invalid_template,5,DLQ,2026-04-13T12:57:55.599Z
notif-181,push,fcm,NETWORK_ERROR,network_error,4,FAILED,2026-03-19T10:57:55.599Z
notif-182,push,fcm,RATE_LIMITED,rate_limited,2,DLQ,2026-03-21T19:09:55.599Z
notif-183,in_app,in_app,DND_BLOCKED,dnd_blocked,4,DLQ,2026-04-03T10:17:55.599Z
notif-184,push,fcm,PROVIDER_TIMEOUT,provider_timeout,1,FAILED,2026-03-21T12:30:55.599Z
notif-185,sms,twilio,DND_BLOCKED,dnd_blocked,5,FAILED,2026-05-17T19:09:55.599Z
notif-186,push,fcm,DND_BLOCKED,dnd_blocked,2,FAILED,2026-04-28T19:09:55.599Z
notif-187,in_app,in_app,DND_BLOCKED,dnd_blocked,3,DLQ,2026-05-18T11:48:55.599Z
notif-188,push,fcm,NETWORK_ERROR,network_error,4,FAILED,2026-04-04T19:09:55.599Z
notif-189,push,fcm,NETWORK_ERROR,network_error,3,DLQ,2026-03-20T08:19:55.599Z
notif-190,push,fcm,EXPIRED_TOKEN,expired_token,2,FAILED,2026-05-08T08:13:55.599Z
notif-191,in_app,in_app,DND_BLOCKED,dnd_blocked,3,FAILED,2026-05-05T11:41:55.599Z
notif-192,sms,msg91,NETWORK_ERROR,network_error,1,FAILED,2026-03-23T19:09:55.599Z
notif-193,in_app,in_app,DND_BLOCKED,dnd_blocked,4,DLQ,2026-06-07T13:53:55.599Z
notif-194,whatsapp,whatsapp_cloud,DND_BLOCKED,dnd_blocked,5,FAILED,2026-06-07T11:07:55.599Z
notif-195,email,nodemailer,INVALID_RECIPIENT,invalid_recipient,3,FAILED,2026-03-20T10:58:55.599Z
notif-196,whatsapp,whatsapp_cloud,PROVIDER_TIMEOUT,provider_timeout,5,DLQ,2026-05-14T19:09:55.599Z
notif-197,sms,twilio,NETWORK_ERROR,network_error,5,FAILED,2026-05-01T08:53:55.599Z
notif-198,email,nodemailer,INVALID_RECIPIENT,invalid_recipient,3,FAILED,2026-06-08T09:11:55.599Z
notif-199,push,fcm,NETWORK_ERROR,network_error,3,FAILED,2026-04-25T13:17:55.599Z
notif-200,in_app,in_app,PROVIDER_TIMEOUT,provider_timeout,4,DLQ,2026-04-30T12:24:55.599Z
notif-201,whatsapp,whatsapp_cloud,DND_BLOCKED,dnd_blocked,3,DLQ,2026-04-10T19:09:55.599Z
notif-202,push,fcm,RATE_LIMITED,rate_limited,5,FAILED,2026-04-05T19:09:55.599Z
notif-203,in_app,in_app,PROVIDER_TIMEOUT,provider_timeout,5,DLQ,2026-04-23T08:07:55.599Z
notif-204,email,nodemailer,INVALID_RECIPIENT,invalid_recipient,3,FAILED,2026-05-23T10:43:55.599Z
notif-205,sms,twilio,RATE_LIMITED,rate_limited,5,DLQ,2026-06-05T08:24:55.599Z
notif-206,in_app,in_app,NETWORK_ERROR,network_error,1,DLQ,2026-06-07T08:50:55.599Z
notif-207,whatsapp,whatsapp_cloud,RATE_LIMITED,rate_limited,5,FAILED,2026-05-09T08:04:55.599Z
notif-208,in_app,in_app,NETWORK_ERROR,network_error,1,DLQ,2026-06-08T12:29:55.599Z
notif-209,sms,twilio,NETWORK_ERROR,network_error,4,DLQ,2026-06-04T13:02:55.599Z
notif-210,push,fcm,DND_BLOCKED,dnd_blocked,4,FAILED,2026-03-21T09:14:55.599Z
notif-211,whatsapp,whatsapp_cloud,PROVIDER_TIMEOUT,provider_timeout,1,FAILED,2026-05-29T19:09:55.599Z
notif-212,in_app,in_app,INVALID_TEMPLATE,invalid_template,1,FAILED,2026-05-15T12:44:55.599Z
notif-213,in_app,in_app,PROVIDER_TIMEOUT,provider_timeout,5,FAILED,2026-05-20T11:24:55.599Z
notif-214,in_app,in_app,DND_BLOCKED,dnd_blocked,3,DLQ,2026-05-20T19:09:55.599Z
notif-215,whatsapp,whatsapp_cloud,EXPIRED_TOKEN,expired_token,1,FAILED,2026-05-22T13:21:55.599Z
notif-216,whatsapp,whatsapp_cloud,EXPIRED_TOKEN,expired_token,4,FAILED,2026-04-17T10:46:55.599Z
notif-217,in_app,in_app,INVALID_TEMPLATE,invalid_template,2,DLQ,2026-03-18T09:49:55.599Z
notif-218,push,fcm,NETWORK_ERROR,network_error,4,DLQ,2026-05-23T13:12:55.599Z
notif-219,email,nodemailer,INVALID_RECIPIENT,invalid_recipient,5,FAILED,2026-05-12T19:09:55.599Z
notif-220,email,nodemailer,DND_BLOCKED,dnd_blocked,4,DLQ,2026-04-21T09:30:55.599Z
notif-221,push,fcm,DND_BLOCKED,dnd_blocked,1,FAILED,2026-06-06T19:09:55.599Z
notif-222,sms,twilio,INVALID_TEMPLATE,invalid_template,4,FAILED,2026-04-25T08:48:55.599Z
notif-223,sms,twilio,EXPIRED_TOKEN,expired_token,5,FAILED,2026-03-29T08:06:55.599Z
notif-224,sms,twilio,INVALID_RECIPIENT,invalid_recipient,1,FAILED,2026-05-14T09:51:55.599Z
notif-225,email,nodemailer,EXPIRED_TOKEN,expired_token,4,DLQ,2026-04-19T11:05:55.599Z
notif-226,in_app,in_app,DND_BLOCKED,dnd_blocked,5,DLQ,2026-05-11T10:54:55.599Z
notif-227,push,fcm,EXPIRED_TOKEN,expired_token,3,FAILED,2026-03-27T19:09:55.599Z
notif-228,push,fcm,NETWORK_ERROR,network_error,2,FAILED,2026-03-28T08:14:55.599Z
notif-229,in_app,in_app,NETWORK_ERROR,network_error,5,FAILED,2026-06-08T10:35:55.599Z
notif-230,in_app,in_app,NETWORK_ERROR,network_error,3,FAILED,2026-04-03T08:16:55.599Z
notif-231,in_app,in_app,INVALID_RECIPIENT,invalid_recipient,4,FAILED,2026-06-01T19:09:55.599Z
notif-232,push,fcm,NETWORK_ERROR,network_error,2,FAILED,2026-06-09T19:09:55.599Z
notif-233,email,nodemailer,NETWORK_ERROR,network_error,4,DLQ,2026-05-07T11:19:55.599Z
notif-234,in_app,in_app,DND_BLOCKED,dnd_blocked,4,DLQ,2026-06-05T11:53:55.599Z
notif-235,whatsapp,whatsapp_cloud,RATE_LIMITED,rate_limited,5,DLQ,2026-06-03T11:31:55.599Z
notif-236,whatsapp,whatsapp_cloud,RATE_LIMITED,rate_limited,5,DLQ,2026-06-01T13:27:55.599Z
notif-237,push,fcm,RATE_LIMITED,rate_limited,5,FAILED,2026-04-29T09:33:55.599Z
notif-238,in_app,in_app,NETWORK_ERROR,network_error,3,FAILED,2026-04-23T09:05:55.599Z
notif-239,sms,msg91,EXPIRED_TOKEN,expired_token,5,FAILED,2026-04-26T12:57:55.599Z
notif-240,email,nodemailer,INVALID_TEMPLATE,invalid_template,2,DLQ,2026-05-03T19:09:55.599Z
notif-241,sms,msg91,RATE_LIMITED,rate_limited,4,FAILED,2026-04-29T19:09:55.599Z
notif-242,email,nodemailer,RATE_LIMITED,rate_limited,3,FAILED,2026-05-02T11:26:55.599Z
notif-243,push,fcm,INVALID_TEMPLATE,invalid_template,3,FAILED,2026-06-15T09:13:55.599Z
notif-244,whatsapp,whatsapp_cloud,PROVIDER_TIMEOUT,provider_timeout,2,FAILED,2026-06-01T11:21:55.599Z
notif-245,email,nodemailer,DND_BLOCKED,dnd_blocked,4,FAILED,2026-06-11T19:09:55.599Z
notif-246,sms,twilio,EXPIRED_TOKEN,expired_token,4,FAILED,2026-06-01T09:45:55.599Z
notif-247,push,fcm,NETWORK_ERROR,network_error,4,FAILED,2026-04-04T19:09:55.599Z
notif-248,email,nodemailer,RATE_LIMITED,rate_limited,3,DLQ,2026-05-07T13:06:55.599Z
