complaint_id,user_id,complaint_type,channel,event_type,description,timestamp,resolved
complaint-20,user-5717,wrong_time,in_app,RISK-004,User complaint: wrong time,2026-06-08T11:09:36.399Z,false
complaint-21,user-1591,missing_critical_notification,whatsapp,TXNX-005,User complaint: missing critical notification,2026-06-09T12:46:36.399Z,true
complaint-22,user-5022,too_many_notifications,whatsapp,TXNX-005,User complaint: too many notifications,2026-05-31T08:18:36.399Z,false
complaint-23,user-8416,too_many_notifications,push,SIPX-003,User complaint: too many notifications,2026-05-19T08:03:36.399Z,true
complaint-24,user-8165,irrelevant_content,email,TXNX-003,User complaint: irrelevant content,2026-06-05T10:26:36.399Z,false
complaint-25,user-9887,wrong_channel,push,TXNX-004,User complaint: wrong channel,2026-06-17T11:18:36.399Z,true
complaint-26,user-3708,too_many_notifications,in_app,TXNX-002,User complaint: too many notifications,2026-06-08T08:34:36.399Z,true
complaint-27,user-1697,irrelevant_content,email,TXNX-001,User complaint: irrelevant content,2026-05-28T12:32:36.399Z,false
complaint-28,user-6665,irrelevant_content,in_app,TXNX-002,User complaint: irrelevant content,2026-05-26T08:40:36.399Z,true
complaint-29,user-5223,irrelevant_content,whatsapp,REGX-001,User complaint: irrelevant content,2026-06-17T10:26:36.399Z,true
complaint-30,user-35,irrelevant_content,push,MKTX-002,User complaint: irrelevant content,2026-06-06T09:53:36.399Z,true
complaint-31,user-1454,too_many_notifications,sms,SIPX-005,User complaint: too many notifications,2026-05-28T09:25:36.399Z,false
complaint-32,user-123,wrong_time,whatsapp,TXNX-005,User complaint: wrong time,2026-06-17T10:26:36.399Z,true
complaint-33,user-5535,irrelevant_content,in_app,TXNX-002,User complaint: irrelevant content,2026-06-03T12:41:36.399Z,true
complaint-34,user-664,missing_critical_notification,sms,TXNX-001,User complaint: missing critical notification,2026-06-15T09:49:36.399Z,true
complaint-35,user-5279,too_many_notifications,push,MKTX-005,User complaint: too many notifications,2026-06-16T12:27:36.399Z,false
complaint-36,user-5553,wrong_time,whatsapp,TXNX-003,User complaint: wrong time,2026-05-31T10:26:36.399Z,true
complaint-37,user-6301,irrelevant_content,push,SIPX-002,User complaint: irrelevant content,2026-06-01T08:46:36.399Z,true
complaint-38,user-9134,wrong_channel,push,SIPX-005,User complaint: wrong channel,2026-05-19T11:01:36.399Z,true
complaint-39,user-3250,irrelevant_content,push,TXNX-002,User complaint: irrelevant content,2026-06-10T10:26:36.399Z,true
complaint-40,user-1785,too_many_notifications,sms,TXNX-001,User complaint: too many notifications,2026-06-12T08:09:36.399Z,true
complaint-41,user-2076,missing_critical_notification,sms,MKTX-004,User complaint: missing critical notification,2026-05-22T08:17:36.399Z,true
complaint-42,user-7990,too_many_notifications,email,TXNX-004,User complaint: too many notifications,2026-06-11T12:07:36.399Z,true
complaint-43,user-495,too_many_notifications,whatsapp,RISK-003,User complaint: too many notifications,2026-05-30T09:09:36.399Z,true
complaint-44,user-6093,too_many_notifications,sms,SIPX-005,User complaint: too many notifications,2026-05-19T10:26:36.399Z,true
complaint-45,user-350,irrelevant_content,push,TXNX-001,User complaint: irrelevant content,2026-06-13T09:48:36.399Z,true
complaint-46,user-8546,missing_critical_notification,sms,REGX-003,User complaint: missing critical notification,2026-06-15T11:17:36.399Z,false
complaint-47,user-8408,too_many_notifications,sms,RISK-002,User complaint: too many notifications,2026-05-20T13:12:36.399Z,true
complaint-48,user-9428,too_many_notifications,sms,TXNX-005,User complaint: too many notifications,2026-05-30T12:44:36.399Z,false
complaint-49,user-7717,wrong_time,sms,RISK-001,User complaint: wrong time,2026-05-30T11:02:36.399Z,true
complaint-50,user-825,too_many_notifications,sms,TXNX-003,User complaint: too many notifications,2026-05-29T10:26:36.399Z,true
complaint-51,user-2281,missing_critical_notification,sms,TXNX-004,User complaint: missing critical notification,2026-06-02T13:27:36.399Z,false
complaint-52,user-3213,too_many_notifications,push,SIPX-004,User complaint: too many notifications,2026-06-12T09:06:36.399Z,true
complaint-53,user-4241,wrong_time,push,TXNX-003,User complaint: wrong time,2026-06-11T12:58:36.399Z,false
complaint-54,user-9042,too_many_notifications,whatsapp,SIPX-003,User complaint: too many notifications,2026-06-09T13:45:36.399Z,false
complaint-55,user-7695,irrelevant_content,in_app,RISK-002,User complaint: irrelevant content,2026-05-25T11:27:36.399Z,true
complaint-56,user-4326,wrong_time,whatsapp,TXNX-001,User complaint: wrong time,2026-05-30T11:59:36.399Z,true
complaint-57,user-332,too_many_notifications,email,SIPX-003,User complaint: too many notifications,2026-06-12T09:09:36.399Z,false
complaint-58,user-6276,too_many_notifications,email,TXNX-003,User complaint: too many notifications,2026-05-31T10:26:36.399Z,false
complaint-59,user-2252,too_many_notifications,push,TXNX-002,User complaint: too many notifications,2026-06-05T11:03:36.399Z,true
complaint-60,user-6942,too_many_notifications,whatsapp,TXNX-002,User complaint: too many notifications,2026-06-10T08:50:36.399Z,false
complaint-61,user-4651,irrelevant_content,push,TXNX-004,User complaint: irrelevant content,2026-05-26T10:52:36.399Z,true
complaint-62,user-4868,too_many_notifications,in_app,TXNX-001,User complaint: too many notifications,2026-05-20T12:05:36.399Z,true
complaint-63,user-9167,wrong_time,sms,RISK-002,User complaint: wrong time,2026-05-19T13:08:36.399Z,false
complaint-64,user-4497,irrelevant_content,whatsapp,TXNX-005,User complaint: irrelevant content,2026-05-20T10:26:36.399Z,true
complaint-65,user-1650,wrong_channel,whatsapp,TXNX-003,User complaint: wrong channel,2026-05-23T08:16:36.399Z,true
complaint-66,user-9015,irrelevant_content,sms,TXNX-004,User complaint: irrelevant content,2026-06-06T12:45:36.399Z,true
complaint-67,user-6830,irrelevant_content,in_app,SIPX-005,User complaint: irrelevant content,2026-05-25T12:54:36.399Z,false
complaint-68,user-9649,too_many_notifications,sms,TXNX-002,User complaint: too many notifications,2026-06-01T13:44:36.399Z,true
complaint-69,user-7654,wrong_time,push,TXNX-003,User complaint: wrong time,2026-05-20T10:59:36.399Z,true
complaint-70,user-7034,too_many_notifications,push,TXNX-003,User complaint: too many notifications,2026-06-04T12:57:36.399Z,false
complaint-71,user-9025,too_many_notifications,push,SIPX-001,User complaint: too many notifications,2026-06-16T08:30:36.400Z,false
complaint-72,user-6046,wrong_time,push,MKTX-005,User complaint: wrong time,2026-05-30T10:21:36.400Z,false
complaint-73,user-2205,missing_critical_notification,email,REGX-002,User complaint: missing critical notification,2026-05-26T10:26:36.400Z,false
complaint-74,user-5758,too_many_notifications,sms,TXNX-005,User complaint: too many notifications,2026-06-05T12:14:36.400Z,false
complaint-75,user-7290,wrong_time,push,TXNX-005,User complaint: wrong time,2026-06-01T10:26:36.400Z,true
complaint-76,user-6610,irrelevant_content,email,MKTX-004,User complaint: irrelevant content,2026-06-08T13:56:36.400Z,true
complaint-77,user-5675,irrelevant_content,whatsapp,TXNX-004,User complaint: irrelevant content,2026-06-15T10:28:36.400Z,false
complaint-78,user-560,too_many_notifications,whatsapp,TXNX-001,User complaint: too many notifications,2026-06-07T10:26:36.400Z,true
complaint-79,user-8714,irrelevant_content,push,MKTX-003,User complaint: irrelevant content,2026-05-20T13:26:36.400Z,false
complaint-80,user-5467,too_many_notifications,push,TXNX-001,User complaint: too many notifications,2026-06-13T08:49:36.400Z,true
complaint-81,user-5435,irrelevant_content,email,RISK-004,User complaint: irrelevant content,2026-05-31T13:24:36.400Z,true
complaint-82,user-8058,wrong_time,email,TXNX-005,User complaint: wrong time,2026-06-03T12:47:36.400Z,true
complaint-83,user-2218,too_many_notifications,email,RISK-004,User complaint: too many notifications,2026-06-09T09:34:36.400Z,false
complaint-84,user-8070,too_many_notifications,push,MKTX-003,User complaint: too many notifications,2026-06-13T11:32:36.400Z,false
complaint-85,user-8360,irrelevant_content,sms,MKTX-004,User complaint: irrelevant content,2026-05-23T10:38:36.400Z,true
complaint-86,user-5857,too_many_notifications,push,RISK-002,User complaint: too many notifications,2026-05-23T10:26:36.400Z,false
complaint-87,user-7148,wrong_time,email,RISK-005,User complaint: wrong time,2026-06-12T13:10:36.400Z,false
complaint-88,user-832,too_many_notifications,email,TXNX-001,User complaint: too many notifications,2026-06-11T13:52:36.400Z,true
complaint-89,user-4728,wrong_channel,in_app,TXNX-002,User complaint: wrong channel,2026-06-04T08:06:36.400Z,false
complaint-90,user-152,too_many_notifications,whatsapp,SIPX-003,User complaint: too many notifications,2026-06-10T10:26:36.400Z,true
complaint-91,user-8996,wrong_time,whatsapp,TXNX-005,User complaint: wrong time,2026-05-23T09:29:36.400Z,true
complaint-92,user-6041,missing_critical_notification,push,REGX-004,User complaint: missing critical notification,2026-05-30T09:52:36.400Z,false
complaint-93,user-1929,wrong_time,sms,TXNX-001,User complaint: wrong time,2026-05-27T12:27:36.400Z,true
complaint-94,user-8368,irrelevant_content,sms,RISK-001,User complaint: irrelevant content,2026-06-16T09:58:36.400Z,true
complaint-95,user-6510,too_many_notifications,in_app,SIPX-002,User complaint: too many notifications,2026-06-02T09:31:36.400Z,true
complaint-96,user-7370,wrong_time,sms,TXNX-002,User complaint: wrong time,2026-05-25T11:12:36.400Z,true
complaint-97,user-1194,missing_critical_notification,push,TXNX-003,User complaint: missing critical notification,2026-06-08T10:26:36.400Z,true
complaint-98,user-8980,too_many_notifications,in_app,SIPX-002,User complaint: too many notifications,2026-06-03T11:07:36.400Z,false
complaint-99,user-6022,irrelevant_content,push,TXNX-004,User complaint: irrelevant content,2026-05-26T10:26:36.400Z,false
complaint-100,user-1375,too_many_notifications,push,MKTX-005,User complaint: too many notifications,2026-05-27T08:36:36.400Z,false
complaint-101,user-5296,wrong_channel,sms,TXNX-002,User complaint: wrong channel,2026-06-06T12:14:36.400Z,true
complaint-102,user-8797,wrong_time,in_app,REGX-002,User complaint: wrong time,2026-05-21T12:19:36.400Z,true
complaint-103,user-7215,too_many_notifications,sms,TXNX-003,User complaint: too many notifications,2026-06-13T13:51:36.400Z,false
complaint-104,user-479,wrong_time,push,MKTX-002,User complaint: wrong time,2026-06-13T13:22:36.400Z,false
complaint-105,user-7375,missing_critical_notification,whatsapp,REGX-005,User complaint: missing critical notification,2026-06-08T09:00:36.400Z,true
complaint-106,user-3229,irrelevant_content,whatsapp,RISK-002,User complaint: irrelevant content,2026-05-22T12:06:36.400Z,true
complaint-107,user-4775,irrelevant_content,sms,MKTX-001,User complaint: irrelevant content,2026-05-20T10:21:36.400Z,true
complaint-108,user-486,too_many_notifications,sms,SIPX-002,User complaint: too many notifications,2026-06-15T12:19:36.400Z,false
complaint-109,user-3895,irrelevant_content,email,TXNX-002,User complaint: irrelevant content,2026-06-15T11:41:36.400Z,false
complaint-110,user-9989,irrelevant_content,push,TXNX-002,User complaint: irrelevant content,2026-06-08T13:58:36.400Z,true
complaint-111,user-1307,too_many_notifications,whatsapp,TXNX-001,User complaint: too many notifications,2026-06-06T12:35:36.400Z,true
complaint-112,user-2323,wrong_time,whatsapp,TXNX-005,User complaint: wrong time,2026-05-26T10:15:36.400Z,false
complaint-113,user-1911,too_many_notifications,in_app,RISK-002,User complaint: too many notifications,2026-06-14T09:56:36.400Z,false
complaint-114,user-5255,too_many_notifications,in_app,TXNX-005,User complaint: too many notifications,2026-05-30T10:26:36.400Z,true
complaint-115,user-7921,irrelevant_content,whatsapp,SIPX-004,User complaint: irrelevant content,2026-05-27T12:59:36.400Z,false
complaint-116,user-3597,wrong_time,email,RISK-002,User complaint: wrong time,2026-06-17T12:09:36.400Z,true
complaint-117,user-1981,irrelevant_content,push,SIPX-003,User complaint: irrelevant content,2026-05-24T11:14:36.400Z,true
complaint-118,user-9285,irrelevant_content,push,RISK-004,User complaint: irrelevant content,2026-05-31T13:40:36.400Z,true
complaint-119,user-7133,wrong_channel,sms,SIPX-005,User complaint: wrong channel,2026-06-14T13:47:36.400Z,true
complaint-120,user-3147,wrong_channel,sms,REGX-002,User complaint: wrong channel,2026-06-11T10:10:36.400Z,false
complaint-121,user-4487,irrelevant_content,in_app,RISK-004,User complaint: irrelevant content,2026-05-21T10:26:36.400Z,true
complaint-122,user-9023,irrelevant_content,in_app,MKTX-005,User complaint: irrelevant content,2026-06-05T09:19:36.400Z,false
complaint-123,user-558,missing_critical_notification,email,TXNX-003,User complaint: missing critical notification,2026-05-30T09:38:36.400Z,false
complaint-124,user-6759,irrelevant_content,whatsapp,REGX-005,User complaint: irrelevant content,2026-05-28T09:56:36.400Z,false
complaint-125,user-4580,irrelevant_content,sms,MKTX-004,User complaint: irrelevant content,2026-06-12T10:26:36.400Z,true
complaint-126,user-587,wrong_time,in_app,TXNX-005,User complaint: wrong time,2026-05-20T10:26:36.400Z,true
complaint-127,user-8314,too_many_notifications,push,MKTX-001,User complaint: too many notifications,2026-06-11T10:51:36.400Z,false
complaint-128,user-2220,wrong_time,push,SIPX-005,User complaint: wrong time,2026-06-04T10:55:36.400Z,true
complaint-129,user-8314,wrong_time,email,MKTX-003,User complaint: wrong time,2026-06-17T13:18:36.400Z,false
complaint-130,user-7362,wrong_channel,email,TXNX-001,User complaint: wrong channel,2026-06-08T10:26:36.400Z,true
complaint-131,user-3885,wrong_channel,in_app,TXNX-001,User complaint: wrong channel,2026-06-11T08:08:36.400Z,true
complaint-132,user-8713,too_many_notifications,sms,RISK-005,User complaint: too many notifications,2026-05-24T08:48:36.400Z,true
complaint-133,user-4435,wrong_channel,email,TXNX-002,User complaint: wrong channel,2026-05-22T11:30:36.400Z,true
complaint-134,user-4643,irrelevant_content,email,SIPX-005,User complaint: irrelevant content,2026-06-11T12:49:36.400Z,true
complaint-135,user-8113,irrelevant_content,sms,SIPX-003,User complaint: irrelevant content,2026-06-12T08:41:36.400Z,true
complaint-136,user-5002,irrelevant_content,email,SIPX-002,User complaint: irrelevant content,2026-06-10T10:26:36.400Z,false
complaint-137,user-5599,irrelevant_content,email,RISK-002,User complaint: irrelevant content,2026-06-13T12:42:36.400Z,false
complaint-138,user-1461,missing_critical_notification,sms,TXNX-001,User complaint: missing critical notification,2026-06-16T09:27:36.400Z,false
complaint-139,user-8454,wrong_channel,push,TXNX-002,User complaint: wrong channel,2026-06-17T10:45:36.400Z,true
complaint-140,user-6135,irrelevant_content,whatsapp,SIPX-001,User complaint: irrelevant content,2026-06-03T10:26:36.400Z,true
complaint-141,user-52,too_many_notifications,sms,TXNX-003,User complaint: too many notifications,2026-06-10T10:26:36.400Z,false
complaint-142,user-6287,wrong_channel,email,SIPX-002,User complaint: wrong channel,2026-05-29T10:26:36.400Z,true
complaint-143,user-5662,irrelevant_content,in_app,TXNX-004,User complaint: irrelevant content,2026-06-04T09:55:36.400Z,true
complaint-144,user-4437,wrong_time,in_app,RISK-004,User complaint: wrong time,2026-06-08T13:50:36.400Z,false
complaint-145,user-7860,irrelevant_content,in_app,MKTX-001,User complaint: irrelevant content,2026-06-14T11:10:36.400Z,true
complaint-146,user-9795,wrong_channel,sms,MKTX-003,User complaint: wrong channel,2026-06-02T12:46:36.400Z,true
complaint-147,user-1532,missing_critical_notification,whatsapp,TXNX-002,User complaint: missing critical notification,2026-05-30T09:58:36.400Z,true
complaint-148,user-7029,wrong_channel,sms,TXNX-003,User complaint: wrong channel,2026-05-27T13:34:36.400Z,true
complaint-149,user-13,wrong_channel,sms,SIPX-002,User complaint: wrong channel,2026-05-23T12:30:36.400Z,false
complaint-150,user-9557,too_many_notifications,in_app,REGX-003,User complaint: too many notifications,2026-05-19T13:41:36.400Z,true
complaint-151,user-7955,too_many_notifications,in_app,TXNX-004,User complaint: too many notifications,2026-05-28T10:23:36.400Z,true
complaint-152,user-6231,irrelevant_content,email,MKTX-003,User complaint: irrelevant content,2026-05-27T13:41:36.400Z,true
complaint-153,user-6703,too_many_notifications,email,TXNX-005,User complaint: too many notifications,2026-06-07T13:09:36.400Z,true
complaint-154,user-1458,too_many_notifications,sms,REGX-003,User complaint: too many notifications,2026-05-23T13:09:36.400Z,true
complaint-155,user-5614,missing_critical_notification,sms,RISK-005,User complaint: missing critical notification,2026-05-30T13:00:36.400Z,true
complaint-156,user-7489,missing_critical_notification,in_app,RISK-005,User complaint: missing critical notification,2026-05-30T11:15:36.400Z,false
complaint-157,user-1680,wrong_time,push,TXNX-002,User complaint: wrong time,2026-05-19T10:13:36.400Z,false
complaint-158,user-8090,missing_critical_notification,sms,TXNX-005,User complaint: missing critical notification,2026-06-16T10:46:36.400Z,false
complaint-159,user-1929,wrong_time,in_app,TXNX-002,User complaint: wrong time,2026-05-23T08:56:36.400Z,true
complaint-160,user-2037,missing_critical_notification,sms,TXNX-005,User complaint: missing critical notification,2026-05-31T10:26:36.400Z,true
complaint-161,user-5232,wrong_channel,sms,TXNX-001,User complaint: wrong channel,2026-05-26T11:53:36.400Z,true
complaint-162,user-9735,wrong_time,email,TXNX-002,User complaint: wrong time,2026-05-29T13:49:36.400Z,true
complaint-163,user-2643,missing_critical_notification,email,RISK-003,User complaint: missing critical notification,2026-05-29T10:26:36.400Z,true
complaint-164,user-5081,irrelevant_content,whatsapp,TXNX-004,User complaint: irrelevant content,2026-06-07T10:26:36.400Z,true
complaint-165,user-7919,missing_critical_notification,push,RISK-002,User complaint: missing critical notification,2026-06-10T11:43:36.400Z,true
complaint-166,user-7129,too_many_notifications,in_app,MKTX-001,User complaint: too many notifications,2026-05-29T10:26:36.400Z,false
complaint-167,user-4002,missing_critical_notification,in_app,SIPX-004,User complaint: missing critical notification,2026-05-23T09:57:36.400Z,false
complaint-168,user-7061,too_many_notifications,in_app,TXNX-005,User complaint: too many notifications,2026-05-26T10:26:36.400Z,true
complaint-169,user-6646,irrelevant_content,email,MKTX-004,User complaint: irrelevant content,2026-05-19T11:08:36.400Z,false
complaint-170,user-3192,missing_critical_notification,email,TXNX-002,User complaint: missing critical notification,2026-06-02T10:22:36.400Z,true
complaint-171,user-6832,too_many_notifications,email,MKTX-004,User complaint: too many notifications,2026-05-24T12:33:36.400Z,false
complaint-172,user-7033,missing_critical_notification,push,MKTX-003,User complaint: missing critical notification,2026-05-20T10:26:36.400Z,false
complaint-173,user-8451,wrong_time,push,TXNX-005,User complaint: wrong time,2026-05-19T09:08:36.400Z,true
complaint-174,user-1699,too_many_notifications,in_app,RISK-002,User complaint: too many notifications,2026-05-20T09:55:36.400Z,true
complaint-175,user-1038,wrong_time,in_app,TXNX-002,User complaint: wrong time,2026-06-09T12:43:36.400Z,false
complaint-176,user-568,missing_critical_notification,email,RISK-004,User complaint: missing critical notification,2026-06-11T10:26:36.400Z,true
complaint-177,user-3002,too_many_notifications,email,RISK-001,User complaint: too many notifications,2026-06-11T11:28:36.400Z,false
complaint-178,user-5003,wrong_channel,push,REGX-001,User complaint: wrong channel,2026-06-16T08:27:36.400Z,true
complaint-179,user-5327,wrong_time,email,REGX-004,User complaint: wrong time,2026-06-05T10:38:36.400Z,true
complaint-180,user-1111,too_many_notifications,push,TXNX-005,User complaint: too many notifications,2026-06-01T08:38:36.400Z,true
complaint-181,user-3724,too_many_notifications,email,TXNX-004,User complaint: too many notifications,2026-05-29T13:50:36.400Z,false
complaint-182,user-7711,too_many_notifications,email,RISK-004,User complaint: too many notifications,2026-06-14T10:42:36.400Z,true
complaint-183,user-7993,wrong_time,push,MKTX-004,User complaint: wrong time,2026-05-23T13:05:36.400Z,true
complaint-184,user-4597,wrong_channel,whatsapp,REGX-005,User complaint: wrong channel,2026-06-09T08:03:36.400Z,true
complaint-185,user-2199,too_many_notifications,sms,TXNX-003,User complaint: too many notifications,2026-05-25T10:26:36.400Z,false
complaint-186,user-8086,too_many_notifications,in_app,TXNX-001,User complaint: too many notifications,2026-05-22T11:51:36.400Z,false
complaint-187,user-3067,wrong_channel,push,TXNX-004,User complaint: wrong channel,2026-06-16T10:26:36.400Z,true
complaint-188,user-5631,too_many_notifications,whatsapp,RISK-005,User complaint: too many notifications,2026-05-26T11:54:36.400Z,false
complaint-189,user-7657,wrong_channel,in_app,MKTX-001,User complaint: wrong channel,2026-06-10T10:17:36.400Z,true
complaint-190,user-7434,irrelevant_content,in_app,MKTX-002,User complaint: irrelevant content,2026-06-01T10:58:36.400Z,false
complaint-191,user-6314,missing_critical_notification,sms,SIPX-005,User complaint: missing critical notification,2026-06-05T09:04:36.400Z,false
complaint-192,user-6929,missing_critical_notification,whatsapp,MKTX-005,User complaint: missing critical notification,2026-06-06T13:41:36.400Z,true
complaint-193,user-5448,wrong_time,whatsapp,RISK-002,User complaint: wrong time,2026-06-01T11:43:36.400Z,true
complaint-194,user-104,too_many_notifications,sms,MKTX-004,User complaint: too many notifications,2026-06-01T10:19:36.400Z,true
complaint-195,user-3044,missing_critical_notification,in_app,MKTX-003,User complaint: missing critical notification,2026-05-31T10:57:36.400Z,true
complaint-196,user-9900,wrong_channel,email,REGX-004,User complaint: wrong channel,2026-06-06T10:26:36.400Z,true
complaint-197,user-7226,wrong_channel,email,TXNX-005,User complaint: wrong channel,2026-06-04T10:26:36.400Z,false
complaint-198,user-2106,too_many_notifications,email,SIPX-002,User complaint: too many notifications,2026-06-02T10:30:36.400Z,true
complaint-199,user-2585,missing_critical_notification,whatsapp,TXNX-001,User complaint: missing critical notification,2026-06-02T10:26:36.400Z,false
complaint-200,user-6410,irrelevant_content,push,RISK-002,User complaint: irrelevant content,2026-05-24T09:37:36.400Z,true
complaint-201,user-8414,wrong_channel,whatsapp,RISK-001,User complaint: wrong channel,2026-05-28T10:26:36.400Z,true
complaint-202,user-7874,wrong_time,whatsapp,SIPX-005,User complaint: wrong time,2026-05-31T10:26:36.400Z,false
complaint-203,user-9250,too_many_notifications,push,SIPX-002,User complaint: too many notifications,2026-06-15T09:59:36.400Z,true
complaint-204,user-9685,irrelevant_content,email,TXNX-002,User complaint: irrelevant content,2026-05-31T08:54:36.400Z,true
complaint-205,user-3673,irrelevant_content,sms,TXNX-004,User complaint: irrelevant content,2026-06-06T13:30:36.400Z,false
complaint-206,user-699,irrelevant_content,whatsapp,MKTX-003,User complaint: irrelevant content,2026-05-29T10:52:36.400Z,true
complaint-207,user-3760,too_many_notifications,email,SIPX-001,User complaint: too many notifications,2026-06-06T10:34:36.400Z,false
complaint-208,user-6374,missing_critical_notification,sms,RISK-003,User complaint: missing critical notification,2026-05-22T12:07:36.400Z,true
complaint-209,user-8874,too_many_notifications,push,MKTX-004,User complaint: too many notifications,2026-05-26T10:26:36.400Z,false
complaint-210,user-8493,too_many_notifications,whatsapp,MKTX-004,User complaint: too many notifications,2026-05-25T10:22:36.400Z,true
complaint-211,user-4747,too_many_notifications,sms,RISK-005,User complaint: too many notifications,2026-06-17T09:07:36.400Z,false
complaint-212,user-2244,wrong_time,push,TXNX-005,User complaint: wrong time,2026-05-29T10:26:36.400Z,true
complaint-213,user-1112,missing_critical_notification,in_app,RISK-003,User complaint: missing critical notification,2026-06-05T13:08:36.400Z,true
complaint-214,user-1618,wrong_time,whatsapp,MKTX-001,User complaint: wrong time,2026-06-02T10:26:36.400Z,true
complaint-215,user-9098,wrong_time,push,MKTX-003,User complaint: wrong time,2026-05-23T12:27:36.400Z,true
complaint-216,user-4372,wrong_channel,sms,MKTX-002,User complaint: wrong channel,2026-06-16T10:26:36.400Z,false
complaint-217,user-8642,irrelevant_content,push,TXNX-004,User complaint: irrelevant content,2026-06-16T10:26:36.400Z,false
complaint-218,user-2795,irrelevant_content,sms,MKTX-003,User complaint: irrelevant content,2026-06-01T12:15:36.400Z,true
complaint-219,user-685,too_many_notifications,email,MKTX-004,User complaint: too many notifications,2026-05-19T12:46:36.400Z,false
complaint-220,user-5853,wrong_channel,email,TXNX-002,User complaint: wrong channel,2026-06-05T10:24:36.400Z,false
complaint-221,user-3523,too_many_notifications,push,MKTX-001,User complaint: too many notifications,2026-05-29T11:12:36.400Z,false
complaint-222,user-7758,too_many_notifications,push,RISK-005,User complaint: too many notifications,2026-06-14T11:35:36.400Z,true
complaint-223,user-8230,wrong_time,in_app,MKTX-003,User complaint: wrong time,2026-06-11T12:08:36.400Z,false
complaint-224,user-9318,irrelevant_content,in_app,SIPX-001,User complaint: irrelevant content,2026-06-17T08:25:36.400Z,false
complaint-225,user-8698,too_many_notifications,sms,MKTX-004,User complaint: too many notifications,2026-06-08T10:54:36.400Z,true
complaint-226,user-9602,missing_critical_notification,whatsapp,RISK-001,User complaint: missing critical notification,2026-06-01T10:31:36.400Z,true
complaint-227,user-2895,wrong_time,email,TXNX-001,User complaint: wrong time,2026-06-14T12:25:36.400Z,false
complaint-228,user-2061,wrong_time,whatsapp,TXNX-004,User complaint: wrong time,2026-06-07T13:51:36.400Z,true
complaint-229,user-9486,missing_critical_notification,push,REGX-005,User complaint: missing critical notification,2026-06-04T08:46:36.400Z,true
complaint-230,user-1417,wrong_time,sms,MKTX-002,User complaint: wrong time,2026-05-28T13:04:36.400Z,false
complaint-231,user-9575,wrong_time,email,SIPX-005,User complaint: wrong time,2026-06-17T08:34:36.400Z,true
complaint-232,user-4568,too_many_notifications,sms,MKTX-003,User complaint: too many notifications,2026-05-19T10:48:36.400Z,true
complaint-233,user-2001,wrong_time,email,RISK-003,User complaint: wrong time,2026-05-29T10:24:36.400Z,true
complaint-234,user-3492,too_many_notifications,sms,TXNX-005,User complaint: too many notifications,2026-06-07T08:37:36.400Z,false
complaint-235,user-7170,too_many_notifications,in_app,SIPX-005,User complaint: too many notifications,2026-05-29T08:19:36.400Z,true
complaint-236,user-2095,missing_critical_notification,whatsapp,TXNX-003,User complaint: missing critical notification,2026-06-05T13:03:36.400Z,false
complaint-237,user-7316,missing_critical_notification,sms,TXNX-001,User complaint: missing critical notification,2026-05-24T13:26:36.400Z,false
